URL,ID,Address,City,Postal_code,Total_price,Date,Charges,Area,Bedrooms,Type_of_property,Construction_year,Floor
https://www.finn.no/realestate/homes/ad.html?finnkode=288297439,288297439,Ole Vigs Gate 12,Oslo,366.0,6271363.0,2023-01-24,162620.0,68.0,2.0,Leilighet,1892,2
https://www.finn.no/realestate/homes/ad.html?finnkode=285335842,285335842,Ulsholtveien 22,Oslo,1053.0,3448676.0,2023-01-24,17676.0,60.0,2.0,Leilighet,1977,3
https://www.finn.no/realestate/homes/ad.html?finnkode=288885661,288885661,Havreveien 9,Oslo,680.0,3908901.0,2023-01-24,8901.0,56.0,2.0,Leilighet,1958,4
https://www.finn.no/realestate/homes/ad.html?finnkode=288367580,288367580,Vide,Video,,6072498.0,2023-01-24,960.0,102.0,3.0,Leilighet,2004,4
https://www.finn.no/realestate/homes/ad.html?finnkode=288853095,288853095,Barlinveien 5A,Holmestrand,3084.0,2048628.0,2023-01-24,1132.0,70.0,2.0,Leilighet,1966,1
https://www.finn.no/realestate/homes/ad.html?finnkode=288863421,288863421,Søster Mathildes Gate 27,Lørenskog,1461.0,3386856.0,2023-01-24,83842.0,42.0,1.0,Leilighet,2016,4
https://www.finn.no/realestate/homes/ad.html?finnkode=288894584,288894584,Havnevegen 177,Hommelvik,7550.0,7125092.0,2023-01-24,175092.0,100.0,2.0,Leilighet,2020,4
https://www.finn.no/realestate/homes/ad.html?finnkode=273666078,273666078,Christen Smiths Gate 17,Drammen,3045.0,4091170.0,2023-01-24,101170.0,72.0,0.0,Enebolig,1870,2
https://www.finn.no/realestate/homes/ad.html?finnkode=278010351,278010351,Parkgata 15,"Leil.,Tromsø",3069008.0,5434492.0,2023-01-24,144492.0,76.0,2.0,Leilighet,2021,3
https://www.finn.no/realestate/homes/ad.html?finnkode=288893932,288893932,Lørenskog Hageby - A1104 Ny,Finstadjordet,1475.0,5069882.0,2023-01-24,79882.0,62.0,2.0,Leilighet,2023,1
https://www.finn.no/realestate/homes/ad.html?finnkode=281178483,281178483,Breiviken 3A,Bergen,5042.0,12001242.0,2023-01-24,11242.0,128.0,3.0,Leilighet,2022,5
https://www.finn.no/realestate/homes/ad.html?finnkode=288893127,288893127,Nedre Gartnergaten 4,Bergen,5011.0,8200392.0,2023-01-24,210392.0,98.0,3.0,Leilighet,1890,4
https://www.finn.no/realestate/homes/ad.html?finnkode=282061721,282061721,Revefarmen 59,Drammen,3033.0,4588045.0,2023-01-24,113045.0,132.0,3.0,Enebolig,1981,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288275459,288275459,Trevaliglia 1,"Etg.,Fetsund",31900.0,3998874.0,2023-01-24,98874.0,57.0,1.0,Leilighet,2020,3
https://www.finn.no/realestate/homes/ad.html?finnkode=263800961,263800961,Prestegårdsgata 16,Skien,3724.0,4283860.0,2023-01-24,8860.0,71.0,2.0,Leilighet,2018,3
https://www.finn.no/realestate/homes/ad.html?finnkode=288890924,288890924,Blåbærvegen 9A,Haugesund,5533.0,1260217.0,2023-01-24,6960.0,50.0,2.0,Leilighet,2005,1
https://www.finn.no/realestate/homes/ad.html?finnkode=288856255,288856255,Margarethas Vei 1,Lørenskog,1473.0,2911792.0,2023-01-24,71792.0,39.0,0.0,Leilighet,2004,2
https://www.finn.no/realestate/homes/ad.html?finnkode=284526432,284526432,Lørenveien 69A,Oslo,585.0,5536342.0,2023-01-24,136342.0,50.0,1.0,Leilighet,2020,11
https://www.finn.no/realestate/homes/ad.html?finnkode=288799201,288799201,360° Visnin,°Visning,360.0,4027918.0,2023-01-24,99370.0,76.0,2.0,Leilighet,2005,1
https://www.finn.no/realestate/homes/ad.html?finnkode=288891121,288891121,marken 20,Olsvik,5183.0,2429932.0,2023-01-24,8932.0,82.0,2.0,Leilighet,1982,1
https://www.finn.no/realestate/homes/ad.html?finnkode=288816866,288816866,Hvitlyngen 16,KristiansundN,6518.0,2528120.0,2023-01-24,78120.0,113.0,2.0,Enebolig,1983,1
https://www.finn.no/realestate/homes/ad.html?finnkode=288341971,288341971,Jernbanegata 29,Årnes,2150.0,4984120.0,2023-01-24,134120.0,86.0,2.0,Leilighet,2021,3
https://www.finn.no/realestate/homes/ad.html?finnkode=288859205,288859205,Jordstjerneveien 5H,Oslo,1283.0,6458842.0,2023-01-24,158842.0,110.0,3.0,Rekkehus,2018,3
https://www.finn.no/realestate/homes/ad.html?finnkode=275688851,275688851,Sinsenveien 9,Oslo,572.0,5362132.0,2023-01-24,1132.0,60.0,2.0,Leilighet,2005,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288779252,288779252,Vide,Video,,8191092.0,2023-01-24,201092.0,67.0,2.0,Leilighet,2019,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288889541,288889541,Lørenskog Hageby - A1404 Ny,Finstadjordet,1475.0,5469882.0,2023-01-24,79882.0,73.0,3.0,Leilighet,2023,4
https://www.finn.no/realestate/homes/ad.html?finnkode=288889540,288889540, Hageby - A2706 Ny,Lørenskog,1473.0,4269632.0,2023-01-24,79632.0,43.0,1.0,Leilighet,2023,7
https://www.finn.no/realestate/homes/ad.html?finnkode=288889226,288889226,Storhammeren 51,Fyllingsdalen,5145.0,2509693.0,2023-01-24,6660.0,80.0,2.0,Leilighet,1973,6
https://www.finn.no/realestate/homes/ad.html?finnkode=288888875,288888875,Parkvegen Panorama 05-02 - Videresalg Av Kontrakt,Stjørdal,7500.0,6019500.0,2023-01-24,29500.0,86.0,2.0,Leilighet,2023,5
https://www.finn.no/realestate/homes/ad.html?finnkode=288410015,288410015,Fjellfoten 8A,Ålesund,6011.0,3783592.0,2023-01-24,93592.0,83.0,3.0,Leilighet,2017,2
https://www.finn.no/realestate/homes/ad.html?finnkode=288737446,288737446,Øvre Enggate 12,KristiansundN,6509.0,1027620.0,2023-01-24,37620.0,57.0,2.0,Leilighet,1948,2
